BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,
project_LiJin.nlogo,,,,,,,,,,,
experiment-percentage-strong/weak,,,,,,,,,,,
04/12/2020 16:44:25:838 +0200,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,
-16,16,-16,16,,,,,,,,
[run number],percentage_stronger,prob_weaker_win,prob_stronger_win,total_number,[step],count turtles with [ color = green],,,,,
4,0.5,0.1,0.9,500,200,126,,,,,A-win-prob
2,0.5,0.1,0.9,500,200,126,,,,0.1/0.9,0.5072
3,0.5,0.1,0.9,500,200,125,,,,0.2/0.8,0.516
1,0.5,0.1,0.9,500,200,127,,,,0.3/0.7,0.5256
6,0.5,0.1,0.9,500,200,129,,,,,
5,0.5,0.1,0.9,500,200,129,,,,,
7,0.5,0.1,0.9,500,200,125,,,,,
8,0.5,0.1,0.9,500,200,128,,,,,
9,0.5,0.1,0.9,500,200,126,,,,,
10,0.5,0.1,0.9,500,200,127,,,,,
11,0.5,0.1,0.8,500,200,128,,,,,
12,0.5,0.1,0.8,500,200,125,,,,,
13,0.5,0.1,0.8,500,200,127,,,,,
14,0.5,0.1,0.8,500,200,127,,,,,
15,0.5,0.1,0.8,500,200,127,,,,,
16,0.5,0.1,0.8,500,200,129,,,,,
17,0.5,0.1,0.8,500,200,126,,,,,
18,0.5,0.1,0.8,500,200,130,,,,,
19,0.5,0.1,0.8,500,200,128,,,,,
20,0.5,0.1,0.8,500,200,128,,,,,
21,0.5,0.1,0.7,500,200,126,,,,,
22,0.5,0.1,0.7,500,200,125,,,,,
23,0.5,0.1,0.7,500,200,127,,,,,
24,0.5,0.1,0.7,500,200,127,,,,,
26,0.5,0.1,0.7,500,200,128,,,,,
27,0.5,0.1,0.7,500,200,127,,,,,
25,0.5,0.1,0.7,500,200,128,,,,,
28,0.5,0.1,0.7,500,200,129,,,,,
29,0.5,0.1,0.7,500,200,127,,,,,
31,0.5,0.2,0.9,500,200,127,,,,,
30,0.5,0.1,0.7,500,200,129,,,,,
33,0.5,0.2,0.9,500,200,130,,,,,
32,0.5,0.2,0.9,500,200,130,,,,,
34,0.5,0.2,0.9,500,200,129,,,,,
35,0.5,0.2,0.9,500,200,129,,,,,
36,0.5,0.2,0.9,500,200,129,,,,,
37,0.5,0.2,0.9,500,200,126,,,,,
38,0.5,0.2,0.9,500,200,131,,,,,
39,0.5,0.2,0.9,500,200,133,,,,,
40,0.5,0.2,0.9,500,200,130,,,,,
42,0.5,0.2,0.8,500,200,128,,,,,
43,0.5,0.2,0.8,500,200,127,,,,,
41,0.5,0.2,0.8,500,200,129,,,,,
45,0.5,0.2,0.8,500,200,133,,,,,
44,0.5,0.2,0.8,500,200,129,,,,,
46,0.5,0.2,0.8,500,200,134,,,,,
47,0.5,0.2,0.8,500,200,128,,,,,
48,0.5,0.2,0.8,500,200,129,,,,,
49,0.5,0.2,0.8,500,200,128,,,,,
50,0.5,0.2,0.8,500,200,125,,,,,
51,0.5,0.2,0.7,500,200,133,,,,,
52,0.5,0.2,0.7,500,200,129,,,,,
53,0.5,0.2,0.7,500,200,133,,,,,
54,0.5,0.2,0.7,500,200,129,,,,,
55,0.5,0.2,0.7,500,200,130,,,,,
56,0.5,0.2,0.7,500,200,127,,,,,
57,0.5,0.2,0.7,500,200,129,,,,,
58,0.5,0.2,0.7,500,200,128,,,,,
59,0.5,0.2,0.7,500,200,130,,,,,
60,0.5,0.2,0.7,500,200,129,,,,,
61,0.5,0.3,0.9,500,200,129,,,,,
62,0.5,0.3,0.9,500,200,134,,,,,
63,0.5,0.3,0.9,500,200,133,,,,,
64,0.5,0.3,0.9,500,200,134,,,,,
65,0.5,0.3,0.9,500,200,134,,,,,
66,0.5,0.3,0.9,500,200,137,,,,,
67,0.5,0.3,0.9,500,200,131,,,,,
68,0.5,0.3,0.9,500,200,136,,,,,
69,0.5,0.3,0.9,500,200,133,,,,,
70,0.5,0.3,0.9,500,200,132,,,,,
71,0.5,0.3,0.8,500,200,131,,,,,
72,0.5,0.3,0.8,500,200,132,,,,,
73,0.5,0.3,0.8,500,200,135,,,,,
74,0.5,0.3,0.8,500,200,134,,,,,
75,0.5,0.3,0.8,500,200,132,,,,,
76,0.5,0.3,0.8,500,200,130,,,,,
77,0.5,0.3,0.8,500,200,136,,,,,
78,0.5,0.3,0.8,500,200,131,,,,,
79,0.5,0.3,0.8,500,200,133,,,,,
80,0.5,0.3,0.8,500,200,136,,,,,
81,0.5,0.3,0.7,500,200,135,,,,,
82,0.5,0.3,0.7,500,200,132,,,,,
83,0.5,0.3,0.7,500,200,133,,,,,
84,0.5,0.3,0.7,500,200,131,,,,,
85,0.5,0.3,0.7,500,200,130,,,,,
86,0.5,0.3,0.7,500,200,131,,,,,
87,0.5,0.3,0.7,500,200,131,,,,,
88,0.5,0.3,0.7,500,200,126,,,,,
89,0.5,0.3,0.7,500,200,131,,,,,
90,0.5,0.3,0.7,500,200,134,,,,,
